source,target,type
1026,487,undirected
1026,995,undirected
1026,1045,undirected
995,484,undirected
995,957,undirected
995,996,undirected
996,957,undirected
484,709,undirected
709,849,undirected
487,1045,undirected
811,1037,undirected
811,957,undirected
1037,957,undirected
513,486,undirected
513,808,undirected
513,1034,undirected
513,848,undirected
513,564,undirected
513,757,undirected
868,554,undirected
868,564,undirected
868,824,undirected
868,869,undirected
869,554,undirected
869,564,undirected
486,848,undirected
486,757,undirected
808,564,undirected
808,757,undirected
808,1034,undirected
808,848,undirected
1034,848,undirected
554,564,undirected
554,824,undirected
848,564,undirected
848,757,undirected
564,824,undirected
481,706,undirected
481,691,undirected
481,663,undirected
706,585,undirected
706,663,undirected
706,691,undirected
706,1098,undirected
706,1043,undirected
706,847,undirected
706,1039,undirected
585,691,undirected
585,663,undirected
1098,847,undirected
1098,1035,undirected
1098,1039,undirected
1098,1043,undirected
1035,847,undirected
1035,1043,undirected
1035,1039,undirected
847,1039,undirected
847,1043,undirected
1039,1043,undirected
691,663,undirected
552,788,undirected
552,756,undirected
552,571,undirected
552,726,undirected
552,885,undirected
552,886,undirected
552,887,undirected
552,888,undirected
788,571,undirected
788,726,undirected
788,756,undirected
788,885,undirected
788,887,undirected
788,888,undirected
788,886,undirected
756,571,undirected
756,726,undirected
756,885,undirected
756,887,undirected
756,888,undirected
756,886,undirected
726,571,undirected
726,885,undirected
726,886,undirected
726,887,undirected
726,888,undirected
887,571,undirected
887,888,undirected
887,885,undirected
887,886,undirected
885,571,undirected
885,888,undirected
885,886,undirected
886,571,undirected
886,888,undirected
888,571,undirected
1067,793,undirected
1067,907,undirected
1067,910,undirected
1067,1004,undirected
1067,1005,undirected
1067,1069,undirected
1067,1070,undirected
1067,1105,undirected
907,1005,undirected
907,1004,undirected
907,1069,undirected
1005,793,undirected
1005,910,undirected
1005,1004,undirected
1005,1069,undirected
1005,1105,undirected
1005,1070,undirected
1069,793,undirected
1069,910,undirected
1069,1004,undirected
1069,1070,undirected
1069,1105,undirected
910,1105,undirected
1004,1105,undirected
1105,793,undirected
1105,1070,undirected
903,529,undirected
711,521,undirected
711,1050,undirected
711,861,undirected
521,529,undirected
861,1050,undirected
861,988,undirected
861,989,undirected
1050,988,undirected
1050,989,undirected
1001,499,undirected
1001,1049,undirected
498,764,undirected
498,499,undirected
498,1048,undirected
499,1049,undirected
