id,cluster
1026,0
995,0
484,0
709,0
996,0
487,0
811,0
1037,0
849,0
1045,0
957,0
513,1
868,1
869,1
486,1
808,1
1034,1
554,1
848,1
564,1
757,1
824,1
481,2
706,2
585,2
1098,2
1035,2
847,2
1039,2
691,2
1043,2
663,2
552,3
887,3
788,3
756,3
726,3
885,3
886,3
888,3
571,3
1067,4
907,4
1069,4
1005,4
910,4
1004,4
1105,4
1070,4
793,4
711,5
903,5
521,5
989,5
529,5
1050,5
988,5
861,5
1001,6
498,6
499,6
1048,6
1049,6
764,6
769,7
770,7
588,7
654,7
562,7
660,7
976,8
981,8
983,8
920,8
894,8
895,8
483,9
491,9
1041,9
497,9
607,9
512,10
833,10
834,10
775,10
809,10
518,11
592,11
594,11
599,11
601,11
765,12
523,12
528,12
822,12
1053,12
545,13
641,13
643,13
642,13
645,13
744,14
590,14
591,14
945,14
724,14
609,15
872,15
750,15
630,15
606,15
610,16
612,16
968,16
1080,16
1084,16
489,17
874,17
689,17
675,17
558,18
912,18
902,18
527,18
621,19
603,19
597,19
598,19
608,20
985,20
634,20
924,20
658,21
987,21
1087,21
935,21
840,22
980,22
700,22
701,22
728,23
992,23
731,23
1003,23
668,24
694,24
495,24
507,25
508,25
509,25
1072,26
587,26
1031,26
602,27
622,27
623,27
787,28
783,28
647,28
745,29
746,29
748,29
1009,30
818,30
990,30
896,31
889,31
891,31
904,32
1051,32
908,32
1121,33
931,33
1011,33
1017,34
1019,34
1068,34
485,35
510,35
506,36
525,36
514,37
1052,37
1056,38
535,38
538,39
950,39
553,40
1061,40
568,41
549,41
741,42
559,42
560,43
1064,43
561,44
1066,44
566,45
567,45
960,46
572,46
617,47
1085,47
624,48
821,48
627,49
636,49
656,50
953,50
752,51
661,51
778,52
671,52
699,53
806,53
851,54
710,54
712,55
795,55
714,56
1099,56
965,57
742,57
753,58
754,58
761,59
930,59
768,60
1103,60
1104,61
771,61
786,62
780,62
784,63
890,63
926,64
799,64
850,65
807,65
825,66
814,66
952,67
819,67
859,68
836,68
880,69
837,69
1112,70
855,70
1113,71
865,71
898,72
1118,72
899,73
900,73
1119,74
919,74
922,75
1002,75
921,76
1090,76
928,77
1062,77
963,78
932,78
946,79
940,79
941,80
942,80
962,81
954,81
986,82
958,82
1123,83
997,83
1125,84
998,84
1088,85
1089,85
1096,86
1133,86
1,87
2,88
3,89
4,90
5,91
6,92
7,93
8,94
9,95
10,96
11,97
12,98
13,99
14,100
15,101
16,102
17,103
18,104
19,105
20,106
21,107
22,108
23,109
24,110
25,111
26,112
27,113
28,114
29,115
30,116
31,117
32,118
33,119
34,120
35,121
36,122
37,123
38,124
39,125
40,126
41,127
42,128
43,129
44,130
45,131
46,132
47,133
48,134
49,135
50,136
51,137
52,138
53,139
54,140
55,141
56,142
57,143
58,144
59,145
60,146
61,147
62,148
63,149
64,150
65,151
66,152
67,153
68,154
69,155
70,156
71,157
72,158
73,159
74,160
75,161
76,162
78,163
79,164
77,165
81,166
83,167
84,168
85,169
86,170
87,171
80,172
82,173
88,174
89,175
90,176
91,177
92,178
93,179
94,180
95,181
96,182
97,183
98,184
99,185
100,186
101,187
102,188
103,189
104,190
106,191
107,192
105,193
130,194
129,195
108,196
109,197
110,198
111,199
112,200
113,201
114,202
115,203
116,204
117,205
118,206
119,207
120,208
121,209
122,210
123,211
124,212
125,213
126,214
127,215
128,216
133,217
134,218
135,219
136,220
138,221
131,222
132,223
137,224
139,225
140,226
141,227
142,228
143,229
144,230
145,231
146,232
147,233
148,234
149,235
150,236
151,237
152,238
153,239
154,240
155,241
156,242
157,243
158,244
159,245
160,246
161,247
162,248
163,249
164,250
165,251
166,252
167,253
168,254
169,255
170,256
171,257
172,258
173,259
174,260
175,261
176,262
177,263
178,264
179,265
180,266
181,267
182,268
183,269
189,270
184,271
185,272
186,273
187,274
188,275
190,276
191,277
192,278
193,279
194,280
195,281
196,282
197,283
198,284
199,285
200,286
201,287
202,288
203,289
204,290
206,291
207,292
208,293
209,294
210,295
211,296
212,297
213,298
214,299
215,300
216,301
217,302
218,303
219,304
220,305
221,306
222,307
205,308
225,309
223,310
224,311
228,312
226,313
227,314
229,315
230,316
231,317
232,318
233,319
234,320
235,321
236,322
237,323
238,324
239,325
240,326
243,327
241,328
242,329
244,330
257,331
260,332
261,333
258,334
259,335
245,336
246,337
247,338
248,339
249,340
250,341
251,342
252,343
253,344
254,345
255,346
256,347
262,348
263,349
264,350
265,351
266,352
267,353
268,354
269,355
270,356
272,357
273,358
275,359
276,360
278,361
279,362
280,363
282,364
283,365
284,366
271,367
281,368
274,369
277,370
285,371
286,372
287,373
288,374
289,375
290,376
291,377
292,378
293,379
294,380
297,381
295,382
296,383
299,384
298,385
300,386
301,387
302,388
303,389
307,390
306,391
305,392
304,393
308,394
309,395
310,396
311,397
312,398
313,399
314,400
315,401
316,402
322,403
324,404
328,405
317,406
318,407
319,408
320,409
321,410
323,411
325,412
326,413
327,414
330,415
329,416
331,417
332,418
333,419
334,420
335,421
336,422
337,423
338,424
339,425
340,426
341,427
343,428
342,429
344,430
345,431
346,432
