source,target,type
545,465,undirected
545,471,undirected
513,419,undirected
513,471,undirected
3,54,undirected
419,564,undirected
463,54,undirected
465,54,undirected
564,478,undirected
57,478,undirected
417,370,undirected
961,356,undirected
961,590,undirected
356,750,undirected
102,8,undirected
102,370,undirected
8,28,undirected
590,413,undirected
309,28,undirected
309,413,undirected
552,884,undirected
552,887,undirected
13,159,undirected
788,885,undirected
788,887,undirected
885,888,undirected
756,159,undirected
756,571,undirected
888,571,undirected
884,1116,undirected
290,24,undirected
290,693,undirected
292,24,undirected
292,182,undirected
651,503,undirected
651,1086,undirected
203,503,undirected
203,789,undirected
693,1086,undirected
182,763,undirected
68,46,undirected
68,511,undirected
296,48,undirected
296,308,undirected
525,506,undirected
46,48,undirected
308,534,undirected
506,285,undirected
508,285,undirected
508,511,undirected
70,530,undirected
70,492,undirected
715,662,undirected
715,950,undirected
492,58,undirected
589,187,undirected
589,662,undirected
493,58,undirected
530,950,undirected
187,766,undirected
280,179,undirected
280,372,undirected
740,152,undirected
110,569,undirected
110,669,undirected
145,372,undirected
145,735,undirected
114,179,undirected
114,569,undirected
152,735,undirected
1092,671,undirected
522,491,undirected
522,607,undirected
170,112,undirected
170,490,undirected
490,491,undirected
112,671,undirected
112,670,undirected
1041,497,undirected
1041,607,undirected
1059,549,undirected
549,501,undirected
549,816,undirected
171,501,undirected
270,815,undirected
270,816,undirected
270,856,undirected
270,857,undirected
270,858,undirected
816,823,undirected
1056,535,undirected
772,188,undirected
772,660,undirected
1060,553,undirected
1060,660,undirected
562,188,undirected
562,316,undirected
914,316,undirected
914,415,undirected
535,415,undirected
709,475,undirected
264,848,undirected
264,447,undirected
457,923,undirected
1007,447,undirected
1007,475,undirected
848,1045,undirected
1045,1112,undirected
855,1112,undirected
855,923,undirected
1024,484,undirected
1024,1097,undirected
705,996,undirected
705,1097,undirected
481,479,undirected
481,1038,undirected
996,422,undirected
422,554,undirected
554,565,undirected
1038,565,undirected
420,331,undirected
710,733,undirected
710,732,undirected
331,827,undirected
12,144,undirected
12,151,undirected
144,732,undirected
144,733,undirected
241,151,undirected
241,827,undirected
33,15,undirected
33,169,undirected
773,189,undirected
773,411,undirected
169,119,undirected
44,411,undirected
15,189,undirected
15,191,undirected
184,189,undirected
184,191,undirected
355,283,undirected
355,956,undirected
355,959,undirected
262,23,undirected
262,377,undirected
262,368,undirected
972,377,undirected
973,377,undirected
23,283,undirected
65,485,undirected
65,514,undirected
65,510,undirected
514,1052,undirected
485,60,undirected
485,510,undirected
811,302,undirected
811,1037,undirected
302,25,undirected
60,25,undirected
578,524,undirected
578,1071,undirected
578,659,undirected
69,524,undirected
69,526,undirected
41,374,undirected
41,247,undirected
41,379,undirected
659,379,undirected
1125,998,undirected
998,427,undirected
999,427,undirected
999,507,undirected
1000,427,undirected
427,507,undirected
150,62,undirected
150,540,undirected
507,540,undirected
476,62,undirected
520,82,undirected
520,137,undirected
137,332,undirected
1002,460,undirected
1002,922,undirected
905,332,undirected
905,402,undirected
460,82,undirected
460,922,undirected
460,1021,undirected
737,621,undirected
609,421,undirected
609,872,undirected
421,397,undirected
872,630,undirected
621,603,undirected
621,604,undirected
630,603,undirected
89,603,undirected
89,604,undirected
960,572,undirected
960,1122,undirected
613,91,undirected
613,1019,undirected
615,91,undirected
1068,980,undirected
1068,1017,undirected
1068,1019,undirected
980,572,undirected
1017,1019,undirected
193,328,undirected
259,92,undirected
259,666,undirected
324,325,undirected
324,666,undirected
325,328,undirected
616,92,undirected
618,92,undirected
619,92,undirected
704,373,undirected
704,775,undirected
230,775,undirected
230,298,undirected
586,155,undirected
586,883,undirected
939,344,undirected
298,883,undirected
344,155,undirected
1121,931,undirected
931,1011,undirected
233,813,undirected
233,239,undirected
233,633,undirected
813,239,undirected
1011,894,undirected
982,730,undirected
982,894,undirected
633,730,undirected
1030,466,undirected
711,269,undirected
711,359,undirected
711,466,undirected
711,521,undirected
1031,466,undirected
1031,587,undirected
521,359,undirected
521,1016,undirected
587,1072,undirected
451,279,undirected
451,1008,undirected
451,836,undirected
836,1109,undirected
836,1111,undirected
836,1110,undirected
654,279,undirected
