id,cluster
545,0
513,0
3,0
419,0
463,0
465,0
564,0
54,0
471,0
57,0
478,0
417,1
961,1
356,1
102,1
8,1
590,1
750,1
370,1
309,1
28,1
413,1
552,2
13,2
756,2
885,2
788,2
887,2
888,2
884,2
571,2
1116,2
159,2
290,3
292,3
651,3
203,3
693,3
182,3
503,3
24,3
789,3
763,3
1086,3
68,4
296,4
525,4
46,4
48,4
308,4
534,4
506,4
508,4
285,4
511,4
70,5
715,5
492,5
493,5
589,5
530,5
950,5
662,5
58,5
187,5
766,5
740,6
110,6
145,6
114,6
179,6
372,6
152,6
280,6
569,6
669,6
735,6
1092,7
170,7
490,7
491,7
522,7
607,7
112,7
1041,7
497,7
670,7
671,7
1059,8
549,8
171,8
270,8
815,8
816,8
501,8
823,8
856,8
857,8
858,8
1056,9
772,9
1060,9
553,9
562,9
914,9
660,9
316,9
535,9
188,9
415,9
923,10
709,10
264,10
457,10
1007,10
848,10
1045,10
855,10
1112,10
475,10
447,10
1024,11
705,11
481,11
996,11
484,11
422,11
1097,11
554,11
1038,11
565,11
479,11
420,12
710,12
331,12
12,12
144,12
241,12
151,12
827,12
732,12
733,12
33,13
773,13
169,13
44,13
15,13
119,13
184,13
411,13
189,13
191,13
355,14
262,14
972,14
973,14
368,14
23,14
377,14
283,14
956,14
959,14
65,15
514,15
485,15
811,15
1037,15
302,15
1052,15
25,15
60,15
510,15
578,16
69,16
41,16
524,16
526,16
1071,16
659,16
374,16
247,16
379,16
1125,17
998,17
999,17
1000,17
427,17
150,17
507,17
476,17
540,17
62,17
520,18
137,18
1002,18
905,18
460,18
332,18
82,18
402,18
922,18
1021,18
737,19
609,19
421,19
872,19
621,19
397,19
630,19
89,19
603,19
604,19
960,20
1122,20
613,20
1019,20
615,20
1068,20
980,20
1017,20
91,20
572,20
193,21
259,21
324,21
325,21
616,21
328,21
618,21
619,21
666,21
92,21
704,22
230,22
775,22
586,22
939,22
298,22
883,22
373,22
344,22
155,22
1121,23
931,23
233,23
813,23
239,23
1011,23
982,23
633,23
730,23
894,23
1030,24
359,24
711,24
521,24
1031,24
587,24
269,24
1072,24
466,24
1016,24
451,25
836,25
654,25
1008,25
532,25
1109,25
1111,25
279,25
1110,25
1055,25
987,26
873,26
874,26
1115,26
876,26
1132,26
879,26
699,26
1087,26
287,26
2,27
35,27
36,27
37,27
10,27
109,27
111,27
690,27
124,27
32,28
6,28
297,28
877,28
882,28
22,28
567,28
87,28
566,28
154,29
104,29
399,29
799,29
245,29
246,29
218,29
926,29
31,29
34,30
108,30
78,30
176,30
113,30
181,30
343,30
120,30
575,30
449,31
1127,31
40,31
456,31
235,31
366,31
1009,31
51,31
541,31
385,32
386,32
354,32
42,32
303,32
50,32
955,32
381,32
383,32
1123,33
997,33
423,33
424,33
45,33
496,33
947,33
979,33
349,33
289,34
327,34
199,34
49,34
785,34
437,34
470,34
56,34
286,34
360,35
650,35
620,35
696,35
335,35
336,35
469,35
55,35
472,35
67,36
516,36
519,36
430,36
498,36
499,36
1048,36
1049,36
764,36
768,37
580,37
550,37
551,37
74,37
1102,37
1103,37
186,37
765,37
388,38
829,38
143,38
978,38
83,38
727,38
890,38
1117,38
351,38
547,39
291,39
132,39
617,39
592,39
1074,39
595,39
85,39
1085,39
131,40
611,40
1126,40
1001,40
266,40
597,40
86,40
536,40
94,40
418,41
994,41
260,41
706,41
845,41
755,41
90,41
605,41
606,41
129,42
194,42
777,42
649,42
780,42
140,42
722,42
599,42
317,42
390,43
679,43
648,43
781,43
274,43
211,43
116,43
792,43
863,43
198,44
683,44
684,44
208,44
629,44
118,44
695,44
126,44
127,44
128,45
770,45
1093,45
680,45
1130,45
975,45
1073,45
691,45
435,45
968,46
265,46
204,46
272,46
850,46
403,46
790,46
791,46
697,46
482,47
870,47
871,47
1035,47
301,47
847,47
849,47
278,47
1114,47
581,48
808,48
393,48
1034,48
1128,48
686,48
1023,48
284,48
543,48
933,49
486,49
1036,49
339,49
1107,49
824,49
281,49
1020,49
477,49
963,50
907,50
909,50
911,50
948,50
949,50
313,50
860,50
350,50
608,51
969,51
334,51
1077,51
598,51
985,51
634,51
924,51
925,51
743,52
744,52
940,52
941,52
783,52
944,52
945,52
946,52
347,52
868,53
869,53
614,53
840,53
1096,53
1133,53
854,53
700,53
701,53
1,54
5,54
103,54
9,54
77,54
400,54
574,54
639,54
928,55
228,55
134,55
1062,55
81,55
242,55
20,55
828,55
261,56
231,56
810,56
306,56
21,56
249,56
253,56
254,56
903,57
906,57
558,57
527,57
529,57
310,57
312,57
29,57
832,58
326,58
681,58
178,58
244,58
918,58
30,58
318,58
640,59
320,59
323,59
43,59
405,59
440,59
282,59
444,59
195,60
255,60
839,60
778,60
47,60
337,60
433,60
927,60
544,61
548,61
934,61
73,61
458,61
362,61
340,61
1015,61
576,62
577,62
101,62
582,62
583,62
79,62
80,62
637,62
96,63
610,63
612,63
100,63
1079,63
1081,63
1082,63
1083,63
107,64
687,64
156,64
250,64
667,64
252,64
702,64
703,64
673,65
897,65
833,65
329,65
304,65
115,65
248,65
542,65
321,66
867,66
1094,66
692,66
277,66
694,66
916,66
125,66
800,67
162,67
197,67
584,67
782,67
401,67
177,67
219,67
192,68
288,68
263,68
776,68
1006,68
240,68
439,68
826,68
227,69
518,69
807,69
1095,69
489,69
878,69
1046,69
601,69
1065,70
942,70
398,70
912,70
271,70
561,70
314,70
1054,70
898,71
546,71
1129,71
429,71
919,71
1053,71
1118,71
1119,71
448,72
97,72
7,72
461,72
632,72
445,72
95,72
802,73
643,73
645,73
200,73
16,73
