source,target,type
193,215,undirected
193,594,undirected
642,216,undirected
642,643,undirected
643,645,undirected
599,594,undirected
599,780,undirected
780,786,undirected
594,215,undirected
594,695,undirected
216,215,undirected
887,788,undirected
887,888,undirected
887,885,undirected
887,886,undirected
788,885,undirected
788,888,undirected
788,886,undirected
756,888,undirected
756,886,undirected
885,888,undirected
885,886,undirected
886,888,undirected
385,380,undirected
385,386,undirected
386,383,undirected
386,387,undirected
744,745,undirected
744,945,undirected
745,748,undirected
745,945,undirected
746,748,undirected
746,945,undirected
1035,1098,undirected
1035,1043,undirected
1098,1039,undirected
1098,1043,undirected
1043,1039,undirected
569,119,undirected
110,119,undirected
114,179,undirected
114,669,undirected
121,169,undirected
121,174,undirected
190,567,undirected
190,566,undirected
566,567,undirected
1013,622,undirected
622,623,undirected
936,889,undirected
889,896,undirected
920,895,undirected
920,981,undirected
946,940,undirected
940,941,undirected
2,22,undirected
64,68,undirected
426,66,undirected
584,162,undirected
220,197,undirected
290,668,undirected
485,510,undirected
497,1041,undirected
529,527,undirected
624,821,undirected
808,848,undirected
1004,1005,undirected
1017,1019,undirected
1069,1070,undirected
1088,1089,undirected
