source,target,type
963,860,undirected
963,932,undirected
932,1005,undirected
1067,1004,undirected
1067,1105,undirected
1004,1069,undirected
1069,1070,undirected
1070,1005,undirected
1105,793,undirected
1058,546,undirected
1058,900,undirected
899,311,undirected
899,900,undirected
546,569,undirected
310,311,undirected
1026,995,undirected
995,1112,undirected
869,855,undirected
869,1112,undirected
457,923,undirected
855,923,undirected
513,471,undirected
808,1034,undirected
808,1023,undirected
1128,1023,undirected
1034,848,undirected
848,471,undirected
707,1010,undirected
707,825,undirected
233,814,undirected
233,815,undirected
814,825,undirected
303,895,undirected
982,730,undirected
982,894,undirected
983,730,undirected
894,895,undirected
451,772,undirected
451,1008,undirected
772,819,undirected
819,952,undirected
467,952,undirected
965,468,undirected
965,742,undirected
742,600,undirected
1033,468,undirected
594,600,undirected
613,1019,undirected
840,980,undirected
1068,980,undirected
1068,1017,undirected
1017,1019,undirected
865,1113,undirected
865,976,undirected
773,649,undirected
773,976,undirected
1113,859,undirected
577,79,undirected
5,6,undirected
5,79,undirected
6,87,undirected
96,100,undirected
96,634,undirected
100,7,undirected
969,634,undirected
103,9,undirected
103,246,undirected
245,250,undirected
246,250,undirected
10,111,undirected
10,126,undirected
684,118,undirected
684,126,undirected
132,11,undirected
132,638,undirected
586,883,undirected
586,638,undirected
776,240,undirected
240,405,undirected
81,20,undirected
81,405,undirected
34,55,undirected
620,336,undirected
336,469,undirected
469,55,undirected
993,434,undirected
296,48,undirected
296,108,undirected
48,434,undirected
672,259,undirected
259,666,undirected
324,50,undirected
324,666,undirected
463,54,undirected
465,54,undirected
465,602,undirected
89,602,undirected
1123,979,undirected
1123,997,undirected
496,59,undirected
496,979,undirected
999,507,undirected
84,150,undirected
150,540,undirected
507,540,undirected
640,104,undirected
640,218,undirected
218,799,undirected
926,799,undirected
1127,1009,undirected
106,665,undirected
1009,990,undirected
665,990,undirected
130,437,undirected
130,699,undirected
1095,699,undirected
1095,878,undirected
683,629,undirected
364,148,undirected
364,207,undirected
207,629,undirected
1120,930,undirected
930,761,undirected
162,176,undirected
176,761,undirected
1093,680,undirected
680,211,undirected
648,792,undirected
211,792,undirected
227,518,undirected
518,601,undirected
489,1046,undirected
1046,601,undirected
1028,462,undirected
235,541,undirected
235,818,undirected
462,818,undirected
832,244,undirected
810,254,undirected
810,470,undirected
244,470,undirected
257,844,undirected
257,843,undirected
844,308,undirected
308,534,undirected
1060,553,undirected
1061,553,undirected
1061,568,undirected
279,568,undirected
290,693,undirected
651,503,undirected
651,1086,undirected
693,1086,undirected
301,849,undirected
1037,479,undirected
1037,849,undirected
309,479,undirected
512,1051,undirected
904,312,undirected
904,1051,undirected
906,312,undirected
907,891,undirected
907,911,undirected
909,313,undirected
911,313,undirected
321,916,undirected
321,442,undirected
322,917,undirected
322,442,undirected
1056,535,undirected
331,827,undirected
535,415,undirected
827,415,undirected
933,339,undirected
933,477,undirected
475,1020,undirected
1020,477,undirected
835,391,undirected
391,375,undirected
399,346,undirected
375,346,undirected
743,748,undirected
743,944,undirected
748,1075,undirected
944,347,undirected
961,356,undirected
961,590,undirected
356,905,undirected
747,590,undirected
749,443,undirected
500,537,undirected
500,539,undirected
443,539,undirected
522,491,undirected
491,1041,undirected
1041,607,undirected
497,607,undirected
1124,981,undirected
504,920,undirected
504,892,undirected
981,920,undirected
715,662,undirected
715,950,undirected
589,662,undirected
530,950,undirected
833,555,undirected
833,834,undirected
834,1108,undirected
1063,555,undirected
704,661,undirected
704,775,undirected
775,884,undirected
884,1116,undirected
770,975,undirected
770,1073,undirected
