id,cluster
963,0
932,0
1067,0
1004,0
1069,0
1070,0
1005,0
1105,0
793,0
860,0
1058,1
899,1
900,1
546,1
310,1
311,1
569,1
1026,2
995,2
869,2
457,2
855,2
1112,2
923,2
513,3
808,3
1128,3
1034,3
848,3
471,3
1023,3
707,4
233,4
814,4
815,4
1010,4
825,4
303,5
982,5
983,5
730,5
894,5
895,5
451,6
772,6
1008,6
819,6
467,6
952,6
965,7
742,7
1033,7
594,7
468,7
600,7
613,8
840,8
1068,8
980,8
1017,8
1019,8
865,9
773,9
649,9
976,9
1113,9
859,9
577,10
5,10
6,10
79,10
87,10
96,11
100,11
7,11
969,11
634,11
103,12
9,12
245,12
246,12
250,12
10,13
684,13
111,13
118,13
126,13
132,14
586,14
11,14
883,14
638,14
776,15
240,15
81,15
20,15
405,15
34,16
620,16
336,16
469,16
55,16
993,17
296,17
108,17
48,17
434,17
672,18
259,18
324,18
50,18
666,18
463,19
465,19
54,19
89,19
602,19
1123,20
997,20
496,20
979,20
59,20
999,21
84,21
150,21
507,21
540,21
640,22
104,22
218,22
926,22
799,22
1127,23
106,23
1009,23
665,23
990,23
130,24
1095,24
878,24
437,24
699,24
683,25
364,25
207,25
148,25
629,25
1120,26
162,26
930,26
176,26
761,26
1093,27
680,27
648,27
211,27
792,27
227,28
518,28
489,28
1046,28
601,28
1028,29
235,29
462,29
818,29
541,29
832,30
810,30
244,30
470,30
254,30
257,31
843,31
844,31
308,31
534,31
1060,32
1061,32
553,32
279,32
568,32
290,33
651,33
693,33
503,33
1086,33
1037,34
301,34
849,34
309,34
479,34
512,35
904,35
906,35
312,35
1051,35
907,36
909,36
911,36
313,36
891,36
321,37
322,37
916,37
917,37
442,37
1056,38
331,38
535,38
827,38
415,38
933,39
339,39
475,39
1020,39
477,39
835,40
391,40
399,40
375,40
346,40
743,41
748,41
944,41
1075,41
347,41
961,42
356,42
905,42
747,42
590,42
749,43
500,43
443,43
537,43
539,43
522,44
491,44
1041,44
497,44
607,44
1124,45
981,45
920,45
504,45
892,45
715,46
589,46
530,46
662,46
950,46
833,47
834,47
1063,47
555,47
1108,47
704,48
775,48
884,48
661,48
1116,48
770,49
1130,49
975,49
1073,49
691,49
8,50
637,50
101,50
102,50
16,51
123,51
14,51
175,51
17,52
441,52
225,52
806,52
105,53
19,53
236,53
644,53
232,54
897,54
304,54
27,54
314,55
315,55
29,55
902,55
318,56
915,56
30,56
319,56
345,57
947,57
349,57
38,57
40,58
765,58
1102,58
359,58
428,59
533,59
46,59
71,59
927,60
337,60
433,60
47,60
56,61
361,61
436,61
360,61
57,62
426,62
482,62
66,62
525,63
506,63
69,63
526,63
178,64
492,64
166,64
70,64
544,65
73,65
362,65
137,65
466,66
74,66
550,66
1030,66
400,67
77,67
574,67
343,67
369,68
579,68
91,68
615,68
682,69
114,69
117,69
669,69
224,70
674,70
115,70
192,70
120,71
170,71
490,71
685,71
598,72
708,72
1077,72
134,72
736,73
145,73
937,73
735,73
156,74
237,74
702,74
631,74
752,75
657,75
158,75
751,75
164,76
165,76
174,76
173,76
297,77
563,77
172,77
877,77
187,78
189,78
774,78
766,78
566,79
882,79
190,79
567,79
778,80
195,80
1092,80
671,80
698,81
210,81
676,81
797,81
248,82
809,82
794,82
212,82
217,83
692,83
293,83
214,83
812,84
813,84
718,84
239,84
418,85
485,85
242,85
605,85
249,86
306,86
1118,86
898,86
866,87
387,87
276,87
591,87
886,88
284,88
788,88
542,88
875,89
1047,89
675,89
295,89
480,90
811,90
957,90
302,90
320,91
918,91
517,91
326,91
329,92
673,92
581,92
686,92
352,93
655,93
588,93
951,93
888,94
633,94
552,94
389,94
784,95
977,95
380,95
382,95
408,96
787,96
725,96
646,96
409,97
705,97
996,97
431,97
1000,98
427,98
1125,98
998,98
461,99
632,99
445,99
448,99
1024,100
1097,100
484,100
453,100
922,101
1002,101
1036,101
486,101
712,102
529,102
795,102
903,102
851,103
556,103
573,103
710,103
912,104
561,104
1066,104
1065,104
696,105
593,105
1076,105
695,105
703,106
786,106
596,106
783,106
621,107
603,107
604,107
741,107
656,108
953,108
654,108
769,108
706,109
994,109
1090,109
663,109
714,110
1099,110
988,110
861,110
986,111
724,111
958,111
1100,111
978,112
1117,112
726,112
890,112
1025,113
1027,113
1101,113
757,113
836,114
1109,114
1110,114
1111,114
1114,115
1035,115
870,115
871,115
1078,116
1032,116
910,116
1079,116
968,117
1080,117
1131,117
1084,117
32,118
1,118
22,118
2,119
36,119
37,119
72,120
3,120
53,120
476,121
4,121
63,121
241,122
12,122
151,122
154,123
13,123
159,123
184,124
191,124
15,124
528,125
18,125
226,125
253,126
261,126
21,126
281,127
97,127
23,127
24,128
109,128
294,128
25,129
26,129
60,129
280,130
179,130
28,130
338,131
251,131
31,131
33,132
169,132
121,132
282,133
43,133
39,133
41,134
374,134
247,134
42,135
403,135
397,135
44,136
357,136
383,136
424,137
45,137
423,137
440,138
49,138
444,138
456,139
449,139
51,139
52,140
365,140
767,140
58,141
493,141
494,141
64,142
61,142
502,142
505,143
149,143
62,143
65,144
514,144
1052,144
67,145
286,145
519,145
68,146
373,146
510,146
560,147
1064,147
75,147
570,148
523,148
76,148
113,149
78,149
575,149
729,150
83,150
143,150
328,151
193,151
85,151
597,152
86,152
95,152
80,153
582,153
583,153
82,154
275,154
180,154
88,155
216,155
599,155
609,156
90,156
421,156
618,157
619,157
92,157
627,158
628,158
93,158
266,159
99,159
94,159
98,160
635,160
636,160
668,161
107,161
667,161
129,162
194,162
317,162
532,163
110,163
1055,163
112,164
670,164
168,164
681,165
116,165
679,165
690,166
124,166
119,166
122,167
252,167
711,167
125,168
839,168
255,168
133,169
446,169
127,169
128,170
363,170
325,170
713,171
394,171
135,171
136,172
576,172
717,172
138,173
298,173
230,173
536,174
131,174
700,174
738,175
139,175
147,175
722,176
140,176
719,176
723,177
141,177
142,177
144,178
732,178
733,178
737,179
146,179
229,179
152,180
739,180
740,180
153,181
412,181
943,181
344,182
155,182
939,182
420,183
157,183
335,183
160,184
758,184
759,184
161,185
185,185
559,185
584,186
177,186
171,186
762,187
763,187
182,187
625,188
677,188
183,188
186,189
580,189
639,189
562,190
188,190
455,190
473,191
779,191
196,191
220,192
197,192
782,192
780,193
198,193
