source,target,type
33,14,undirected
164,173,undirected
167,14,undirected
170,14,undirected
172,14,undirected
173,14,undirected
14,175,undirected
14,182,undirected
14,123,undirected
616,92,undirected
618,92,undirected
619,92,undirected
620,92,undirected
620,270,undirected
270,856,undirected
270,857,undirected
270,858,undirected
270,829,undirected
640,218,undirected
101,582,undirected
101,404,undirected
101,637,undirected
218,154,undirected
218,209,undirected
218,799,undirected
209,404,undirected
926,799,undirected
135,524,undirected
135,713,undirected
135,693,undirected
135,311,undirected
135,712,undirected
135,714,undirected
135,715,undirected
714,1099,undirected
693,1086,undirected
898,429,undirected
898,1118,undirected
486,922,undirected
486,1023,undirected
1128,1023,undirected
1002,429,undirected
1002,922,undirected
429,919,undirected
919,1119,undirected
97,7,undirected
98,7,undirected
98,627,undirected
98,636,undirected
98,635,undirected
737,636,undirected
100,7,undirected
627,636,undirected
1014,636,undirected
739,152,undirected
740,152,undirected
139,12,undirected
12,141,undirected
12,151,undirected
12,152,undirected
141,719,undirected
141,723,undirected
141,152,undirected
38,51,undirected
38,344,undirected
38,345,undirected
38,348,undirected
38,351,undirected
38,241,undirected
585,241,undirected
585,348,undirected
939,344,undirected
937,410,undirected
44,410,undirected
543,410,undirected
143,410,undirected
407,410,undirected
407,411,undirected
407,991,undirected
410,411,undirected
411,540,undirected
675,115,undirected
675,367,undirected
675,1047,undirected
965,367,undirected
489,367,undirected
367,48,undirected
367,115,undirected
367,125,undirected
367,688,undirected
677,254,undirected
677,625,undirected
810,254,undirected
884,413,undirected
884,1116,undirected
309,413,undirected
52,413,undirected
52,254,undirected
420,77,undirected
420,574,undirected
196,77,undirected
196,779,undirected
196,678,undirected
196,473,undirected
77,574,undirected
470,56,undirected
56,473,undirected
67,58,undirected
67,516,undirected
67,519,undirected
67,490,undirected
67,517,undirected
488,58,undirected
490,58,undirected
493,58,undirected
494,58,undirected
193,328,undirected
193,204,undirected
328,85,undirected
328,204,undirected
695,593,undirected
695,696,undirected
204,791,undirected
593,85,undirected
593,1076,undirected
864,427,undirected
90,282,undirected
90,427,undirected
90,604,undirected
999,427,undirected
1000,427,undirected
427,282,undirected
427,908,undirected
427,507,undirected
672,113,undirected
161,117,undirected
161,120,undirected
685,120,undirected
113,532,undirected
113,181,undirected
113,120,undirected
532,117,undirected
532,1055,undirected
128,116,undirected
128,435,undirected
128,194,undirected
705,194,undirected
194,116,undirected
194,777,undirected
194,439,undirected
194,210,undirected
679,116,undirected
131,536,undirected
131,702,undirected
131,700,undirected
131,701,undirected
840,425,undirected
840,700,undirected
840,701,undirected
1096,701,undirected
1096,1133,undirected
736,145,undirected
736,341,undirected
736,505,undirected
357,341,undirected
938,341,undirected
145,735,undirected
341,890,undirected
890,1117,undirected
192,776,undirected
192,248,undirected
192,288,undirected
776,240,undirected
240,440,undirected
240,405,undirected
240,826,undirected
240,444,undirected
440,444,undirected
513,238,undirected
513,419,undirected
233,813,undirected
233,814,undirected
233,815,undirected
233,238,undirected
238,823,undirected
238,447,undirected
449,456,undirected
452,235,undirected
452,456,undirected
452,1010,undirected
1127,1009,undirected
456,235,undirected
456,817,undirected
235,541,undirected
1009,541,undirected
1092,671,undirected
836,255,undirected
836,671,undirected
836,1109,undirected
836,1111,undirected
836,1110,undirected
837,255,undirected
778,671,undirected
839,287,undirected
295,287,undirected
295,875,undirected
873,287,undirected
874,287,undirected
874,1115,undirected
875,287,undirected
876,287,undirected
878,287,undirected
482,301,undirected
482,995,undirected
995,477,undirected
995,483,undirected
483,475,undirected
483,477,undirected
483,1040,undirected
933,477,undirected
1036,477,undirected
929,853,undirected
707,316,undirected
707,853,undirected
653,853,undirected
337,409,undirected
913,316,undirected
409,316,undirected
409,859,undirected
1058,900,undirected
899,900,undirected
900,711,undirected
711,350,undirected
711,861,undirected
861,989,undirected
948,350,undirected
949,350,undirected
835,391,undirected
1126,1001,undirected
391,458,undirected
1001,458,undirected
1001,499,undirected
1001,1049,undirected
458,1015,undirected
430,499,undirected
499,1049,undirected
1,5,undirected
1,9,undirected
1,13,undirected
5,73,undirected
5,13,undirected
5,78,undirected
9,13,undirected
13,156,undirected
78,575,undirected
2,11,undirected
2,20,undirected
2,35,undirected
2,36,undirected
2,37,undirected
11,20,undirected
43,20,undirected
242,20,undirected
294,24,undirected
70,10,undirected
70,531,undirected
70,108,undirected
10,24,undirected
10,108,undirected
10,109,undirected
10,111,undirected
108,24,undirected
795,313,undirected
795,315,undirected
140,313,undirected
140,722,undirected
909,313,undirected
911,313,undirected
313,29,undirected
313,315,undirected
315,29,undirected
673,329,undirected
581,329,undirected
581,686,undirected
329,31,undirected
329,122,undirected
329,331,undirected
331,31,undirected
331,827,undirected
686,122,undirected
609,421,undirected
421,397,undirected
393,42,undirected
393,381,undirected
42,394,undirected
42,397,undirected
42,381,undirected
42,383,undirected
381,383,undirected
198,327,undirected
198,206,undirected
327,49,undirected
327,206,undirected
327,595,undirected
206,49,undirected
49,436,undirected
49,437,undirected
49,442,undirected
75,267,undirected
75,556,undirected
75,557,undirected
75,559,undirected
267,556,undirected
267,557,undirected
556,144,undirected
557,720,undirected
557,721,undirected
768,186,undirected
768,1103,undirected
580,186,undirected
638,186,undirected
76,186,undirected
186,414,undirected
186,639,undirected
1090,663,undirected
1090,921,undirected
1031,587,undirected
587,81,undirected
587,1072,undirected
333,81,undirected
333,921,undirected
867,277,undirected
234,82,undirected
306,82,undirected
306,249,undirected
82,180,undirected
82,94,undirected
82,277,undirected
1029,464,undirected
454,89,undirected
454,464,undirected
454,622,undirected
454,1012,undirected
454,1013,undirected
622,602,undirected
464,89,undirected
464,1013,undirected
417,370,undirected
417,872,undirected
417,457,undirected
417,750,undirected
102,370,undirected
872,370,undirected
872,606,undirected
872,630,undirected
872,750,undirected
644,105,undirected
263,503,undirected
104,105,undirected
105,651,undirected
105,203,undirected
105,503,undirected
651,503,undirected
203,503,undirected
203,789,undirected
545,217,undirected
259,293,undirected
259,666,undirected
293,217,undirected
293,783,undirected
107,666,undirected
107,217,undirected
107,667,undirected
129,200,undirected
129,317,undirected
646,200,undirected
200,787,undirected
200,617,undirected
617,1085,undirected
780,317,undirected
133,213,undirected
360,361,undirected
360,472,undirected
361,796,undirected
364,213,undirected
364,472,undirected
366,213,undirected
213,796,undirected
213,472,undirected
708,134,undirected
134,155,undirected
134,586,undirected
134,377,undirected
586,155,undirected
586,883,undirected
972,377,undirected
973,377,undirected
377,155,undirected
230,138,undirected
230,775,undirected
230,239,undirected
230,298,undirected
230,443,undirected
775,443,undirected
298,443,undirected
749,443,undirected
142,443,undirected
832,244,undirected
353,501,undirected
132,244,undirected
132,501,undirected
171,501,undirected
273,501,undirected
273,862,undirected
244,501,undirected
160,757,undirected
160,758,undirected
160,759,undirected
1026,757,undirected
1026,1045,undirected
1101,757,undirected
757,1020,undirected
757,1045,undirected
802,220,undirected
802,390,undirected
802,1106,undirected
197,782,undirected
197,390,undirected
197,220,undirected
390,207,undirected
390,220,undirected
390,781,undirected
648,208,undirected
648,792,undirected
205,792,undirected
208,596,undirected
208,212,undirected
208,343,undirected
208,792,undirected
212,792,undirected
212,794,undirected
800,219,undirected
801,698,undirected
650,219,undirected
650,335,undirected
650,698,undirected
790,219,undirected
790,698,undirected
698,219,undirected
698,797,undirected
226,528,undirected
546,523,undirected
1129,1053,undirected
523,1053,undirected
523,528,undirected
523,822,undirected
523,570,undirected
528,822,undirected
822,1053,undirected
260,845,undirected
260,718,undirected
260,846,undirected
812,718,undirected
812,846,undirected
846,657,undirected
718,508,undirected
657,825,undirected
968,376,undirected
968,403,undirected
970,376,undirected
266,376,undirected
971,376,undirected
403,376,undirected
403,697,undirected
376,734,undirected
544,362,undirected
963,362,undirected
1030,466,undirected
362,268,undirected
362,349,undirected
362,466,undirected
947,349,undirected
1120,930,undirected
1121,931,undirected
930,339,undirected
930,761,undirected
931,339,undirected
931,1011,undirected
339,281,undirected
339,761,undirected
668,290,undirected
668,355,undirected
668,495,undirected
668,880,undirected
290,355,undirected
290,495,undirected
355,838,undirected
355,956,undirected
355,959,undirected
291,547,undirected
291,592,undirected
291,725,undirected
592,1074,undirected
592,725,undirected
725,729,undirected
725,730,undirected
982,730,undirected
352,769,undirected
352,656,undirected
352,562,undirected
352,950,undirected
352,951,undirected
352,952,undirected
352,953,undirected
769,656,undirected
656,953,undirected
1059,549,undirected
549,765,undirected
359,521,undirected
359,765,undirected
521,509,undirected
521,765,undirected
521,1016,undirected
765,1102,undirected
388,958,undirected
396,958,undirected
396,986,undirected
1100,958,undirected
942,398,undirected
942,941,undirected
942,958,undirected
398,958,undirected
986,958,undirected
960,399,undirected
960,572,undirected
960,1122,undirected
612,572,undirected
612,1081,undirected
612,1082,undirected
612,1083,undirected
399,572,undirected
1025,460,undirected
1027,460,undirected
487,460,undirected
487,1044,undirected
460,533,undirected
460,1021,undirected
460,1022,undirected
32,22,undirected
3,6,undirected
3,18,undirected
3,22,undirected
6,8,undirected
6,18,undirected
6,87,undirected
6,22,undirected
18,22,undirected
4,57,undirected
4,60,undirected
4,61,undirected
4,63,undirected
502,61,undirected
57,476,undirected
476,63,undirected
224,17,undirected
224,674,undirected
224,806,undirected
225,17,undirected
225,806,undirected
805,223,undirected
17,223,undirected
229,19,undirected
232,19,undirected
232,27,undirected
236,19,undirected
19,27,undirected
19,86,undirected
86,27,undirected
86,95,undirected
27,95,undirected
261,21,undirected
426,59,undirected
245,21,undirected
21,59,undirected
21,247,undirected
21,253,undirected
34,28,undirected
34,308,undirected
34,342,undirected
296,881,undirected
296,308,undirected
881,308,undirected
881,342,undirected
308,28,undirected
308,534,undirected
320,30,undirected
320,323,undirected
320,326,undirected
318,30,undirected
323,30,undirected
323,326,undirected
326,30,undirected
326,681,undirected
326,918,undirected
41,47,undirected
41,250,undirected
41,374,undirected
47,433,undirected
433,252,undirected
433,927,undirected
250,252,undirected
227,45,undirected
227,807,undirected
807,850,undirected
424,45,undirected
45,54,undirected
463,54,undirected
576,79,undirected
576,136,undirected
577,79,undirected
136,79,undirected
136,682,undirected
136,717,undirected
79,336,undirected
611,91,undirected
611,614,undirected
613,91,undirected
614,91,undirected
614,269,undirected
614,854,undirected
615,91,undirected
269,91,undirected
269,854,undirected
112,280,undirected
112,114,undirected
112,670,undirected
114,179,undirected
114,569,undirected
114,669,undirected
179,280,undirected
179,669,undirected
569,669,undirected
321,137,undirected
321,325,undirected
321,363,undirected
321,916,undirected
321,692,undirected
325,363,undirected
137,214,undirected
692,214,undirected
228,314,undirected
527,314,undirected
527,1054,undirected
146,147,undirected
146,148,undirected
147,314,undirected
747,153,undirected
748,153,undirected
748,1075,undirected
332,412,undirected
943,412,undirected
153,412,undirected
584,177,undirected
584,297,undirected
584,401,undirected
584,441,undirected
297,877,undirected
297,441,undirected
297,882,undirected
401,441,undirected
882,441,undirected
578,211,undirected
578,1071,undirected
578,866,undirected
578,891,undirected
1093,680,undirected
680,211,undirected
289,216,undirected
289,286,undirected
289,786,undirected
647,221,undirected
647,786,undirected
786,216,undirected
786,221,undirected
216,221,undirected
216,798,undirected
231,334,undirected
231,346,undirected
551,346,undirected
330,375,undirected
334,925,undirected
375,346,undirected
934,340,undirected
237,820,undirected
237,821,undirected
237,631,undirected
237,340,undirected
237,624,undirected
624,821,undirected
257,423,undirected
257,660,undirected
257,843,undirected
1060,660,undirected
262,368,undirected
423,660,undirected
368,660,undirected
868,278,undirected
868,824,undirected
868,870,undirected
870,278,undirected
870,824,undirected
870,871,undirected
870,1114,undirected
1107,824,undirected
278,824,undirected
961,356,undirected
356,271,undirected
356,392,undirected
356,945,undirected
356,744,undirected
356,745,undirected
745,744,undirected
745,945,undirected
744,945,undirected
451,500,undirected
451,1008,undirected
500,285,undirected
500,506,undirected
500,537,undirected
500,539,undirected
506,285,undirected
384,303,undirected
384,387,undirected
384,892,undirected
384,896,undirected
896,303,undirected
386,303,undirected
387,303,undirected
303,892,undirected
303,893,undirected
704,661,undirected
395,752,undirected
395,661,undirected
395,984,undirected
752,661,undirected
338,661,undirected
661,378,undirected
661,984,undirected
962,358,undirected
579,369,undirected
579,844,undirected
515,358,undirected
548,358,undirected
358,369,undirected
512,809,undirected
512,889,undirected
512,833,undirected
833,379,undirected
833,809,undirected
833,834,undirected
834,809,undirected
834,1108,undirected
809,379,undirected
992,731,undirected
904,408,undirected
904,1051,undirected
974,731,undirected
406,731,undirected
406,408,undirected
408,731,undirected
1056,535,undirected
652,415,undirected
589,662,undirected
914,415,undirected
662,415,undirected
535,415,undirected
1024,484,undirected
1024,1097,undirected
418,994,undirected
418,755,undirected
418,484,undirected
418,605,undirected
932,432,undirected
1032,1069,undirected
907,432,undirected
907,860,undirected
907,1004,undirected
907,1069,undirected
1004,432,undirected
1004,1069,undirected
432,860,undirected
450,459,undirected
459,1017,undirected
459,1018,undirected
459,1019,undirected
459,980,undirected
1068,980,undirected
1068,1017,undirected
1068,1019,undirected
1017,1019,undirected
770,588,undirected
770,819,undirected
770,1073,undirected
772,588,undirected
772,819,undirected
455,588,undirected
1130,1073,undirected
588,1073,undirected
588,819,undirected
902,561,undirected
902,912,undirected
1033,468,undirected
1066,561,undirected
1066,912,undirected
1065,561,undirected
1065,912,undirected
912,468,undirected
912,561,undirected
480,479,undirected
480,996,undirected
480,1037,undirected
480,957,undirected
996,957,undirected
811,1037,undirected
1037,479,undirected
1037,849,undirected
849,479,undirected
1123,979,undirected
1123,997,undirected
496,979,undirected
498,764,undirected
498,979,undirected
498,1048,undirected
1048,764,undirected
709,1035,undirected
709,1038,undirected
709,1098,undirected
709,816,undirected
1098,1035,undirected
1098,1112,undirected
1035,1038,undirected
1038,565,undirected
816,565,undirected
621,598,undirected
621,603,undirected
1077,598,undirected
597,598,undirected
855,603,undirected
855,923,undirected
598,603,undirected
1088,658,undirected
1088,1089,undirected
1089,658,undirected
935,658,undirected
935,987,undirected
935,1087,undirected
1132,1087,undirected
658,987,undirected
987,1087,undirected
623,93,undirected
15,93,undirected
465,93,undirected
626,93,undirected
628,93,undirected
39,23,undirected
39,265,undirected
265,23,undirected
265,272,undirected
265,284,undirected
272,23,undirected
23,283,undirected
23,284,undirected
