id,cluster
33,0
164,0
167,0
170,0
172,0
173,0
14,0
175,0
182,0
123,0
616,1
618,1
619,1
620,1
270,1
856,1
857,1
858,1
92,1
829,1
640,2
101,2
582,2
154,2
209,2
404,2
218,2
637,2
926,2
799,2
135,3
712,3
713,3
714,3
715,3
524,3
1099,3
693,3
311,3
1086,3
898,4
486,4
1128,4
1002,4
429,4
919,4
922,4
1023,4
1118,4
1119,4
97,5
98,5
737,5
100,5
7,5
627,5
1014,5
635,5
636,5
739,6
740,6
139,6
12,6
141,6
719,6
723,6
151,6
152,6
38,7
585,7
939,7
241,7
51,7
344,7
345,7
348,7
351,7
991,8
937,8
44,8
143,8
407,8
410,8
411,8
540,8
543,8
675,9
965,9
489,9
367,9
48,9
688,9
115,9
1047,9
125,9
677,10
810,10
625,10
884,10
309,10
52,10
1116,10
413,10
254,10
196,11
420,11
678,11
779,11
77,11
470,11
56,11
473,11
574,11
67,12
516,12
517,12
519,12
488,12
490,12
493,12
494,12
58,12
193,13
328,13
204,13
791,13
593,13
1076,13
85,13
695,13
696,13
864,14
999,14
1000,14
282,14
427,14
908,14
90,14
507,14
604,14
672,15
161,15
685,15
113,15
532,15
181,15
117,15
120,15
1055,15
128,16
705,16
194,16
679,16
777,16
210,16
435,16
116,16
439,16
131,17
840,17
1096,17
425,17
1133,17
536,17
700,17
701,17
702,17
736,18
357,18
938,18
145,18
341,18
505,18
890,18
1117,18
735,18
192,19
288,19
440,19
776,19
240,19
405,19
248,19
826,19
444,19
513,20
419,20
233,20
813,20
238,20
814,20
815,20
823,20
447,20
449,21
452,21
1127,21
456,21
235,21
817,21
1010,21
1009,21
541,21
255,22
836,22
837,22
1092,22
778,22
1109,22
1110,22
1111,22
671,22
295,23
839,23
873,23
874,23
875,23
876,23
878,23
1115,23
287,23
482,24
995,24
483,24
933,24
1036,24
301,24
1040,24
475,24
477,24
929,25
707,25
653,25
337,25
913,25
853,25
409,25
859,25
316,25
1058,26
899,26
900,26
711,26
989,26
948,26
949,26
861,26
350,26
835,27
1126,27
391,27
1001,27
458,27
430,27
499,27
1015,27
1049,27
1,28
5,28
73,28
9,28
13,28
78,28
156,28
575,28
2,29
35,29
36,29
37,29
11,29
43,29
242,29
20,29
70,30
294,30
10,30
108,30
109,30
111,30
531,30
24,30
140,31
909,31
911,31
315,31
722,31
313,31
795,31
29,31
673,32
581,32
329,32
331,32
686,32
122,32
827,32
31,32
609,33
421,33
393,33
42,33
394,33
397,33
381,33
383,33
198,34
