source,target,type
32,2,undirected
32,22,undirected
2,37,undirected
2,22,undirected
2,8,undirected
2,13,undirected
2,6,undirected
2,7,undirected
2,36,undirected
6,83,undirected
6,8,undirected
6,7,undirected
6,28,undirected
6,13,undirected
6,22,undirected
7,13,undirected
7,28,undirected
7,22,undirected
8,28,undirected
8,22,undirected
13,28,undirected
13,22,undirected
577,79,undirected
5,77,undirected
5,79,undirected
5,74,undirected
550,74,undirected
1063,555,undirected
1063,958,undirected
74,555,undirected
1100,958,undirected
986,958,undirected
258,21,undirected
103,9,undirected
103,21,undirected
103,41,undirected
103,246,undirected
9,41,undirected
9,21,undirected
41,21,undirected
41,247,undirected
41,250,undirected
41,245,undirected
41,246,undirected
21,253,undirected
21,247,undirected
21,246,undirected
21,245,undirected
21,250,undirected
246,245,undirected
246,250,undirected
245,250,undirected
250,702,undirected
354,141,undirected
354,142,undirected
354,146,undirected
354,147,undirected
354,505,undirected
354,720,undirected
739,147,undirected
229,146,undirected
139,12,undirected
139,146,undirected
139,147,undirected
12,146,undirected
12,142,undirected
12,141,undirected
12,147,undirected
141,142,undirected
141,146,undirected
142,146,undirected
142,147,undirected
720,147,undirected
146,505,undirected
146,147,undirected
33,14,undirected
33,16,undirected
33,24,undirected
33,34,undirected
34,14,undirected
34,16,undirected
34,24,undirected
34,342,undirected
34,108,undirected
294,24,undirected
296,24,undirected
296,108,undirected
108,16,undirected
108,24,undirected
109,24,undirected
14,16,undirected
14,123,undirected
14,24,undirected
16,123,undirected
16,24,undirected
1058,900,undirected
899,306,undirected
899,311,undirected
899,900,undirected
900,306,undirected
906,312,undirected
306,249,undirected
306,311,undirected
310,29,undirected
310,311,undirected
310,312,undirected
311,29,undirected
311,314,undirected
311,312,undirected
312,29,undirected
314,29,undirected
320,30,undirected
320,323,undirected
320,321,undirected
320,697,undirected
321,30,undirected
321,324,undirected
321,442,undirected
321,323,undirected
321,697,undirected
318,30,undirected
323,30,undirected
323,697,undirected
324,30,undirected
324,666,undirected
790,697,undirected
30,319,undirected
185,49,undirected
185,76,undirected
185,183,undirected
185,559,undirected
185,190,undirected
76,49,undirected
76,566,undirected
76,190,undirected
76,183,undirected
76,567,undirected
49,440,undirected
882,566,undirected
625,183,undirected
566,183,undirected
566,190,undirected
566,567,undirected
567,183,undirected
567,190,undirected
183,190,undirected
544,362,undirected
963,362,undirected
963,432,undirected
963,932,undirected
932,432,undirected
69,432,undirected
69,525,undirected
69,506,undirected
69,362,undirected
69,526,undirected
362,52,undirected
362,432,undirected
461,52,undirected
525,506,undirected
64,57,undirected
64,61,undirected
64,485,undirected
64,65,undirected
64,68,undirected
64,510,undirected
64,282,undirected
65,57,undirected
65,68,undirected
65,485,undirected
65,510,undirected
65,282,undirected
68,61,undirected
68,510,undirected
68,485,undirected
68,282,undirected
485,57,undirected
485,61,undirected
485,282,undirected
485,510,undirected
478,57,undirected
426,57,undirected
426,282,undirected
502,61,undirected
57,282,undirected
282,510,undirected
1056,535,undirected
72,537,undirected
72,500,undirected
72,539,undirected
72,540,undirected
72,507,undirected
72,285,undirected
72,536,undirected
72,535,undirected
500,285,undirected
500,539,undirected
500,537,undirected
500,507,undirected
90,285,undirected
90,507,undirected
507,540,undirected
540,285,undirected
193,88,undirected
193,594,undirected
193,600,undirected
193,601,undirected
193,518,undirected
705,532,undirected
227,518,undirected
227,532,undirected
518,88,undirected
518,532,undirected
518,600,undirected
518,601,undirected
518,594,undirected
594,88,undirected
594,600,undirected
594,601,undirected
532,1055,undirected
1046,601,undirected
600,88,undirected
601,88,undirected
741,598,undirected
741,603,undirected
621,93,undirected
621,598,undirected
621,603,undirected
621,604,undirected
627,93,undirected
628,93,undirected
597,598,undirected
598,925,undirected
598,603,undirected
630,603,undirected
93,603,undirected
417,376,undirected
417,457,undirected
417,872,undirected
417,750,undirected
872,376,undirected
872,606,undirected
872,750,undirected
457,94,undirected
457,376,undirected
457,397,undirected
266,94,undirected
266,376,undirected
971,376,undirected
606,94,undirected
606,376,undirected
397,376,undirected
631,94,undirected
376,94,undirected
993,410,undirected
993,434,undirected
98,635,undirected
98,636,undirected
431,409,undirected
431,410,undirected
434,159,undirected
434,409,undirected
434,410,undirected
434,636,undirected
1014,636,undirected
409,410,undirected
409,411,undirected
410,411,undirected
1091,664,undirected
774,766,undirected
106,665,undirected
106,655,undirected
106,664,undirected
106,662,undirected
715,662,undirected
589,187,undirected
589,662,undirected
187,766,undirected
644,105,undirected
420,105,undirected
420,251,undirected
420,333,undirected
420,335,undirected
420,574,undirected
574,333,undirected
105,236,undirected
105,437,undirected
105,251,undirected
105,335,undirected
105,333,undirected
333,251,undirected
333,335,undirected
335,251,undirected
335,926,undirected
437,251,undirected
926,799,undirected
517,118,undirected
517,441,undirected
806,441,undirected
806,584,undirected
806,699,undirected
584,171,undirected
584,297,undirected
584,441,undirected
584,699,undirected
297,877,undirected
297,699,undirected
297,441,undirected
683,118,undirected
879,699,undirected
118,441,undirected
441,699,undirected
161,120,undirected
165,120,undirected
