id,cluster
32,0
2,0
36,0
37,0
6,0
7,0
8,0
13,0
83,0
22,0
28,0
577,1
5,1
550,1
1063,1
74,1
555,1
1100,1
77,1
79,1
986,1
958,1
258,2
103,2
9,2
41,2
21,2
246,2
247,2
245,2
250,2
253,2
702,2
354,3
739,3
229,3
139,3
12,3
141,3
142,3
720,3
146,3
147,3
505,3
33,4
34,4
294,4
296,4
108,4
109,4
14,4
16,4
342,4
24,4
123,4
1058,5
899,5
900,5
906,5
306,5
310,5
311,5
312,5
249,5
314,5
29,5
320,6
321,6
323,6
324,6
442,6
790,6
30,6
697,6
666,6
318,6
319,6
567,7
76,7
559,7
49,7
882,7
625,7
566,7
183,7
440,7
185,7
190,7
544,8
963,8
932,8
69,8
362,8
461,8
525,8
526,8
432,8
52,8
506,8
64,9
65,9
68,9
485,9
510,9
426,9
502,9
57,9
282,9
61,9
478,9
1056,10
535,10
72,10
500,10
507,10
536,10
537,10
90,10
539,10
540,10
285,10
193,11
705,11
227,11
518,11
600,11
594,11
532,11
1046,11
88,11
601,11
1055,11
741,12
621,12
925,12
627,12
628,12
597,12
598,12
630,12
603,12
604,12
93,12
417,13
872,13
457,13
266,13
971,13
397,13
750,13
631,13
376,13
94,13
606,13
993,14
98,14
431,14
434,14
411,14
1014,14
409,14
410,14
635,14
636,14
159,14
1091,15
774,15
106,15
715,15
589,15
655,15
662,15
664,15
665,15
187,15
766,15
420,16
644,16
105,16
236,16
333,16
335,16
926,16
437,16
251,16
574,16
799,16
517,17
806,17
584,17
297,17
683,17
171,17
877,17
879,17
118,17
441,17
699,17
161,18
165,18
166,18
169,18
172,18
685,18
174,18
178,18
563,18
120,18
121,18
1029,19
710,19
237,19
144,19
464,19
624,19
626,19
821,19
732,19
733,19
734,19
515,20
452,20
455,20
652,20
688,20
241,20
914,20
151,20
827,20
316,20
415,20
194,21
196,21
197,21
390,21
777,21
780,21
781,21
782,21
599,21
220,21
317,21
325,22
199,22
328,22
363,22
798,22
785,22
212,22
215,22
216,22
218,22
286,22
676,23
293,23
201,23
361,23
204,23
206,23
400,23
272,23
210,23
214,23
791,23
707,24
260,24
458,24
812,24
845,24
846,24
718,24
814,24
1010,24
1015,24
825,24
868,25
869,25
870,25
871,25
484,25
1128,25
278,25
855,25
1114,25
923,25
1023,25
385,26
386,26
387,26
303,26
784,26
977,26
413,26
380,26
381,26
382,26
383,26
576,27
1120,27
930,27
551,27
456,27
817,27
339,27
308,27
340,27
534,27
761,27
1124,28
393,28
981,28
920,28
983,28
504,28
982,28
892,28
893,28
894,28
895,28
960,29
1122,29
840,29
459,29
1068,29
399,29
980,29
1017,29
1018,29
1019,29
572,29
513,30
545,30
419,30
1027,30
808,30
1034,30
1101,30
848,30
465,30
757,30
471,30
477,31
1025,31
995,31
996,31
486,31
1002,31
460,31
1036,31
922,31
1020,31
1021,31
902,32
1065,32
1066,32
558,32
527,32
912,32
529,32
561,32
860,32
1054,32
543,32
97,33
3,33
39,33
424,33
43,33
45,33
50,33
53,33
23,33
281,33
669,34
10,34
110,34
111,34
114,34
690,34
119,34
569,34
124,34
125,34
832,35
132,35
586,35
11,35
202,35
244,35
501,35
470,35
474,35
638,35
770,36
771,36
1130,36
15,36
1104,36
975,36
1073,36
184,36
188,36
191,36
232,37
233,37
235,37
813,37
239,37
19,37
20,37
86,37
27,37
95,37
38,38
940,38
941,38
942,38
946,38
948,38
949,38
345,38
347,38
350,38
195,39
1092,39
104,39
778,39
47,39
671,39
433,39
337,39
154,39
927,39
448,40
449,40
450,40
451,40
864,40
1008,40
51,40
275,40
279,40
445,40
1064,41
267,41
75,41
556,41
557,41
719,41
560,41
721,41
148,41
852,41
743,42
748,42
332,42
396,42
943,42
944,42
1075,42
84,42
153,42
412,42
582,43
583,43
679,43
80,43
593,43
274,43
116,43
1076,43
863,43
127,43
482,44
867,44
292,44
301,44
177,44
82,44
180,44
277,44
182,44
763,44
673,45
897,45
581,45
329,45
107,45
686,45
304,45
122,45
667,45
252,45
128,46
672,46
259,46
231,46
810,46
330,46
305,46
375,46
346,46
254,46
131,47
135,47
713,47
585,47
972,47
973,47
467,47
377,47
378,47
155,47
737,48
740,48
140,48
722,48
723,48
947,48
149,48
150,48
152,48
349,48
416,49
203,49
651,49
145,49
371,49
851,49
789,49
503,49
573,49
735,49
163,50
389,50
299,50
398,50
595,50
725,50
760,50
633,50
730,50
571,50
1093,51
648,51
680,51
205,51
208,51
915,51
211,51
343,51
792,51
446,51
228,52
836,52
388,52
271,52
404,52
1109,52
1110,52
1111,52
1113,52
859,52
1026,53
453,53
487,53
238,53
1107,53
564,53
1044,53
1045,53
824,53
762,53
964,54
838,54
839,54
966,54
489,54
1033,54
1032,54
367,54
468,54
255,54
290,55
837,55
1094,55
495,55
880,55
273,55
689,55
694,55
668,55
862,55
546,56
898,56
298,56
429,56
883,56
884,56
919,56
1116,56
1118,56
1119,56
480,57
675,57
811,57
875,57
1037,57
302,57
309,57
1047,57
957,57
479,57
795,58
611,58
903,58
712,58
909,58
910,58
313,58
315,58
348,58
509,58
512,59
896,59
384,59
736,59
936,59
937,59
938,59
341,59
889,59
891,59
1059,60
1060,60
549,60
1061,60
553,60
568,60
939,60
344,60
541,60
831,60
352,61
769,61
772,61
677,61
588,61
654,61
656,61
562,61
660,61
951,61
961,62
356,62
744,62
745,62
746,62
747,62
590,62
591,62
945,62
724,62
711,63
359,63
521,63
905,63
989,63
402,63
1016,63
1050,63
988,63
861,63
481,64
706,64
1090,64
1039,64
847,64
691,64
1043,64
755,64
663,64
921,64
1126,65
1096,65
1001,65
1133,65
498,65
499,65
1048,65
1049,65
764,65
701,65
552,66
887,66
756,66
788,66
726,66
886,66
888,66
729,66
885,66
542,66
738,67
1067,67
907,67
1005,67
1069,67
1004,67
1070,67
1105,67
911,67
793,67
472,68
40,68
360,68
364,68
366,68
213,68
55,68
56,68
796,68
708,69
134,69
262,69
42,69
394,69
368,69
338,69
403,69
372,69
67,70
516,70
519,70
488,70
490,70
170,70
493,70
494,70
58,70
256,71
614,71
615,71
842,71
716,71
269,71
854,71
91,71
700,71
101,72
901,72
807,72
265,72
850,72
307,72
435,72
284,72
637,72
613,73
230,73
520,73
137,73
138,73
240,73
826,73
443,73
444,73
962,74
548,74
358,74
425,74
268,74
365,74
369,74
954,74
156,74
322,75
291,75
164,75
547,75
173,75
336,75
917,75
438,75
469,75
192,76
704,76
801,76
775,76
776,76
687,76
698,76
797,76
703,76
226,77
1129,77
523,77
1102,77
528,77
1053,77
822,77
570,77
765,77
355,78
357,78
874,78
1115,78
693,78
283,78
956,78
1086,78
959,78
483,79
522,79
491,79
1040,79
1041,79
1042,79
632,79
1022,79
607,79
1,80
684,80
18,80
25,80
26,80
60,80
126,80
31,80
66,81
4,81
71,81
511,81
533,81
508,81
62,81
63,81
224,82
225,82
674,82
805,82
678,82
17,82
115,82
223,82
646,83
904,83
44,83
406,83
407,83
408,83
1051,83
991,83
422,84
264,84
73,84
554,84
1007,84
89,84
475,84
447,84
289,85
130,85
802,85
327,85
401,85
1106,85
436,85
85,85
99,86
454,86
622,86
623,86
1012,86
1013,86
602,86
189,86
133,87
167,87
136,87
682,87
234,87
717,87
117,87
565,87
395,88
751,88
753,88
754,88
661,88
984,88
158,88
767,88
800,89
650,89
592,89
1074,89
692,89
695,89
696,89
219,89
833,90
834,90
809,90
908,90
1108,90
248,90
794,90
379,90
620,91
270,91
815,91
856,91
857,91
858,91
829,91
351,91
865,92
866,92
773,92
649,92
749,92
976,92
276,92
414,92
353,93
1057,93
392,93
841,93
300,93
819,93
953,93
538,93
929,94
578,94
524,94
653,94
1071,94
659,94
820,94
853,94
612,95
968,95
1131,95
1080,95
1081,95
1082,95
1083,95
1084,95
709,96
1098,96
1035,96
1038,96
816,96
849,96
823,96
1112,96
428,97
430,97
46,97
48,97
497,97
496,97
59,97
70,98
492,98
881,98
530,98
531,98
950,98
952,98
162,99
198,99
78,99
176,99
113,99
181,99
575,99
587,100
1072,100
81,100
243,100
405,100
373,100
830,100
616,101
617,101
618,101
619,101
1085,101
92,101
157,101
992,102
1003,102
974,102
143,102
727,102
728,102
731,102
640,103
326,103
681,103
207,103
629,103
918,103
473,103
803,104
804,104
965,104
742,104
209,104
596,104
222,104
928,105
418,105
994,105
